Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
DELFI LIMITED,10,2022.0,395089000.0,286027000.0,81460000.0,148894000.0,136115000.0,-56445000.0,-19149000.0,37115000.0,246195000.0,43895000.0,482972000.0,73331000.0,61861000.0,11790000.0,7743000.0,-3775000.0,352258402.80232805,97.684,1.5047336,6.12106004,132,19.794621613941157,0.1856062811164066,0.2061813920407806,1.933835001031787,2.101362818205194,0.0298413775124085,-0.7738220318435303,77353404.71187262,1.4308105477460065,-0.1428665439938849
DIGILIFE TECHNOLOGIES LIMITED,58,2020.0,42064141.160965,32249452.2266388,5017774.84512329,14157023.1800079,11561909.2979431,-7161334.37347412,-120263.219833374,1726041.934967036,27907117.980957,-2138264.92118835,199709556.678772,750321.472167969,-532486.206054688,1289615.0302887,-2285757.54928589,-297254.373550415,12549515.9397685,-2.493,0.3012150793650793,-0.18191667,133,17.55470618180783,0.0178375559671299,0.1192886555301816,6.582518630862537,2.789284312442762,0.0306582993185047,0.0532484929671802,-354370.3726035897,0.4496887119741967,-0.1702479636056316
DIGILIFE TECHNOLOGIES LIMITED,58,2021.0,33686271.67207,28802275.8011222,825328.803002834,9329097.10538387,7998374.47851896,-2954780.55793047,-421900.399744511,3378897.5972533207,24357174.5666862,-5181764.45430517,221765923.254848,540860.057115555,-2224767.25679636,2715383.48346949,63543.6679124832,-438894.636511803,14503018.561644,-17.11,0.1537802371541501,2.30485959,133,17.332600943544083,0.0160558004869382,0.0245004496501502,28.7759059924107,3.6010161662817577,0.0806080147397514,0.0752900843881857,3626938.416441367,0.5954310719388639,-0.0877146805290518
DIGILIFE TECHNOLOGIES LIMITED,58,2022.0,29266695.6725121,24089691.4903522,812881.133615971,6790867.00004339,5505726.47041082,-6684515.67149162,-439535.910308361,828499.1608858099,22475828.6724687,401606.415510178,130046850.782454,1196638.37510347,790569.666087627,431355.038881302,817343.427121639,-553324.394702911,11864776.309764,7.737,1.5047336,6.12106004,133,17.191960761024855,0.0408873754828215,0.0277749542589957,3.2770752969933272,4.375388356071874,0.014738768042285,11.588235294117789,-7401676.234613553,0.5278904943913152,-0.2284000813173405
DUTY FREE INTERNATIONAL LIMITED,47,2020.0,129866404.676199,82396099.1824865,43945178.8964272,35567107.4382067,12187924.5680571,-24851216.4705992,-1768860.37242413,2403506.631970389,94299297.2379923,-10316829.3507099,55167058.2631826,-3403630.11491299,-9682183.09116364,6290900.17974377,3524879.65321541,-53092.9750204086,77600063.3504343,-6.349,0.3012150793650793,-0.18191667,138,18.682016823682112,-0.0262087036551092,0.3383875838096652,5.752476930669454,6.760470063823297,0.0484413208745488,0.1463599027400344,5629702.263315994,0.8229124248358658,-0.1913598557884289
DUTY FREE INTERNATIONAL LIMITED,47,2021.0,106677937.160313,62871937.2190535,39825757.0174932,27941919.4643497,3955486.91251874,-14039990.9173846,238514.646828175,-1203523.00834656,78736017.6959634,-865746.277958155,23595573.220402,1002618.45552921,-1830754.63947654,2853368.33485961,325636.763334274,-27850.5126535892,88122314.1602169,-1.254,0.1537802371541501,2.30485959,138,18.485324920386155,0.0093985549610178,0.3733270259776773,1.416968520979388,15.894866702774264,0.0267475019747676,-0.380265654648957,-1307694.1970126834,1.1192122327103002,-0.1316110087157539
DUTY FREE INTERNATIONAL LIMITED,47,2022.0,106639006.699741,67805507.1797669,34930745.0854182,29803723.9294499,6048176.47741735,-11685959.3007267,-439611.897960305,150328.97982001444,76835282.770291,3472510.21783054,33856807.3438257,5754432.75868893,3183227.29969025,2575443.2195574,-396565.172284842,-67581.1289101839,119997809.222144,2.138,1.5047336,6.12106004,138,18.48495991927279,0.0539618000652561,0.3275606756519332,-6.297723041507206,11.21090091086772,0.0241510428431593,-0.144947786439182,-156865.21069207208,1.5617539871740036,-0.109584284985234
ENGRO CORPORATION LIMITED,23,2020.0,218013013.63945,82565616.8365479,7143937.80708313,22557295.6295013,17936616.3215637,-35423191.034317,-240526.439666748,-20076393.987655632,195455718.009949,16656077.7606964,73318207.2410583,-993117.029190063,-3660842.66662598,2667725.63743591,7966871.03462219,-1190530.23910522,87491375.4398961,-17.41,0.3012150793650793,-0.18191667,150,19.20006531456546,-0.0045553107707252,0.0327684007840824,-21.67137138870476,4.603187990216758,0.0122365430985133,-0.0146523522093719,-11213159.109729473,0.4476276075762729,-0.1624820025326556
ENGRO CORPORATION LIMITED,23,2021.0,264409271.781206,95157212.8124237,16085670.4672575,37378857.5798273,20682844.5593119,-44228750.5502701,75460.5338573456,-35959903.61964703,227030414.201379,37492788.1897688,95910338.5326862,3779684.97526646,1608345.10397911,2171339.87128735,11242139.9264336,-1374565.41085243,116796776.421696,5.021,0.1537802371541501,2.30485959,150,19.39300873257812,0.0142948276730404,0.0608362572117671,-4.67107934710628,4.600779768930851,0.0082120413428016,0.0020086252732321,-23270968.311127592,0.514454315878998,-0.1672738261117734
ENGRO CORPORATION LIMITED,23,2022.0,238413648.567617,89975455.1015496,21353561.855793,29698050.7113934,13771381.4740777,-38572808.778584,-571173.568725586,5552580.552220336,208715597.856224,-1200356.95302486,98903016.975224,5475977.8470397,3781050.03046989,1694927.81656981,-3836828.69929075,-5302692.1159029,92694861.800344,0.418,1.5047336,6.12106004,150,19.2895177422198,0.022968390777706,0.08956518212814,43.29391662144101,6.533509747799318,0.0071091895399147,0.3224181360201519,5228191.297083859,0.4441204335106659,-0.1617894319823065
