Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,PER,SOLV,NEMP,SORA,CPI
QAF LTD,1071.0,2011.0,528949781.240523,248223257.346153,239520251.51968,230507412.53525,163996305.021644,25085722.3597169,-12105788.846612,,298442368.705273,45484737.6948595,749321882.308424,92865377.5423765,66117473.3278155,-26747904.214561,72956098.4891653,-43830244.0077066,231.179788212317,5.083,12.788,,0.02296,5.247793398
QAF LTD,1071.0,2012.0,581509590.061247,271385363.52396,264061293.404281,241464644.972324,212198605.60447,35746627.6926994,-7785860.05580425,,340044945.088923,28315487.694025,803172846.037984,71056802.5962114,41295462.872088,-29761339.7241235,56093991.3384318,-45980383.0736279,327.776013552667,11.576,9.862,,0.026215139442231077,4.575602704
QAF LTD,1071.0,2013.0,543327282.198906,263230067.909062,230799813.73471,208744964.756072,183539084.354877,7445665.16977549,-8236781.91268444,,334582317.442834,23856793.2082415,808355342.705488,69550305.3041697,39492611.0321283,-30057694.2720413,62545642.274797,-34730104.0463448,356.325274798272,14.936,12.314,,0.03772908366533865,2.358604154
QAF LTD,1071.0,2014.0,523056081.104159,255975175.949335,220668281.226337,192450616.806448,167703019.744277,-11521229.0919423,-8542344.66010332,,330605464.297712,34118671.0039973,774350261.064947,74204192.8364038,46286233.2526445,-27917959.5837593,62577007.489264,-28536290.0158763,403.370490029826,11.823,18.87,,0.07970555555555556,1.02514803
QAF LTD,1071.0,2015.0,508453915.854812,256622106.071234,210887613.358259,192269606.643915,155849775.396824,-14080910.7915163,-9927858.99746418,,316184309.210896,37156799.9067307,704634690.145373,75279014.6123171,49598273.6991644,-25680740.9131527,61354409.0739489,-42722964.3514156,418.821295637689,11.272,27.003,,0.2525032258064516,-0.52261817
QAF LTD,1071.0,2016.0,534057248.011708,249677797.809005,200224710.761905,168882665.632367,114355251.005173,-15657194.1751242,-9848579.10490036,,365174582.379341,83239991.465807,613858810.39238,76864412.4201536,49646684.5021248,-27117472.0931053,70397566.0028458,-51332365.1998043,539.983679221401,6.487,24.472,,0.19813690476190476,-0.53226874
QAF LTD,1071.0,2017.0,614588497.875988,287800384.233356,237504110.946178,217640277.670741,149202451.49231,-17445009.434402,-7782432.90889263,,396948220.205247,24229387.5941634,616610045.051515,50466855.358243,25799790.0817394,-24667065.2765036,46323506.6320896,-45383808.9072704,476.973203330389,19.686,11.262,9000.0,0.5612424,0.57626031
QAF LTD,1071.0,2018.0,574174243.787885,234547921.48006,261338660.32064,204142733.599424,148478899.507999,33319167.9804325,-3399032.85968304,,370031510.18846,5956184.11648273,596103464.408159,29524472.7486372,4121483.04283619,-25402989.705801,15337045.8760262,-54501759.0503693,244.5922963442,41.065,1.669,9000.0,1.0422362549800797,0.438620118
QAF LTD,1071.0,2019.0,631289357.351124,258213338.101208,294594722.66233,259911675.437748,172012326.34753,68681712.0084763,-3592636.67345047,,371377681.913376,20471348.5159278,641250016.756296,59531622.695744,25495101.616323,-33634947.4347234,44076604.4771671,-26330166.9588089,343.743401436968,16.791,5.973,10000.0,1.48333,0.565260569
QAF LTD,1071.0,2020.0,656592554.315567,393266779.834747,199987901.741028,265609262.91275,208873008.932114,-7569019.12498474,-12805385.6086731,,390983291.402817,20978746.3226318,707242279.176712,92474095.954895,55334695.8274841,-37137131.0100555,72596627.9220581,-23560245.5005646,393.781053909008,18.77,16.023,10000.0,0.30121507936507935,-0.18191667
