Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
HO BEE LAND LIMITED,68,2015.0,3223987514.61172,288762285.341859,15846947.9730129,1219673230.01289,354243577.45707,1106874589.27274,-11937194.8535442,-94189121.1888792,2004314284.59883,171330360.830784,91896879.8972368,65812998.7384081,65204044.7883606,707263.588905334,-14662281.4615965,-1362896.93582058,951831294.73009,3.824,0.2525032258064516,-0.52261817,220,21.89388478894425,0.0204135402014217,0.0049153254785235,2.8916589904275765,0.8151517874077857,0.0002193754118773,-0.0748915098107076,-114542471.208234,0.4748912393849461,0.3433247133421501
HO BEE LAND LIMITED,68,2016.0,3038592261.27291,345845950.75357,15544492.7995205,1006358290.7095,216291225.27051,892961347.106695,-13636866.4480448,-38743690.68682191,2032233970.56341,149869321.290493,207019290.01379,98070939.3596649,97488764.1556263,587015.140414238,123172923.662066,-679665.351033211,934393137.733311,4.432,0.1981369047619047,-0.53226874,220,21.834660173163915,0.0322751231251347,0.00511568893189,0.3952422581595554,1.5989828081145188,0.0001931865449325,-0.1000999832515367,81230655.5374237,0.4597862014255489,0.2938733697467592
HO BEE LAND LIMITED,68,2017.0,3454910162.1775,274448596.337557,19976058.3221912,1104347579.91368,196568902.892232,952089614.481747,-21237467.8477049,-77146489.8065331,2350562582.26383,186488101.02582,123189433.821738,88932364.2166257,88104143.371582,828220.845043659,84449347.6822972,-3397426.24872923,1225252636.54408,4.192,0.5612424,0.57626031,220,21.96306229156387,0.0257408615686189,0.0057819327810252,0.2377246720496249,1.3961953915366878,0.0002397228310335,-0.1285167108849388,785670.998239235,0.5212593128935276,0.2755757949670335
HO BEE LAND LIMITED,68,2018.0,4374885009.0555,314408707.75044,22201788.0321741,1956808343.34517,380582506.778121,1690153885.78439,-36407532.6071978,-53360199.83601521,2418076665.71033,197861959.79619,144229925.256371,108508940.135598,108094227.352977,520955.456614494,161853753.101587,-3615181.74815178,1155184980.80871,3.315,1.0422362549800797,0.438620118,220,22.199146072766112,0.0248026953647918,0.0050748277923234,1.3284214076361789,0.8261249588482525,0.0001190786627616,-0.2254972702890368,100076155.60862464,0.4777288483818046,0.3863310423670494
HO BEE LAND LIMITED,68,2019.0,4599236313.76785,335994664.361715,25888510.1776719,1961817895.68168,298957846.29178,1668093125.53614,-25022269.0623999,-97669984.73745611,2637418418.08617,246667167.96577,157684089.631081,124481891.613841,123974914.165914,506235.167622566,103974913.643301,-3923693.6892271,1190028091.58985,3.012,1.48333,0.565260569,220,22.249156107912704,0.0270657742115149,0.0056288714933334,1.5749451324736388,1.123886422548641,0.0001100693969794,-0.1128935030140657,-797684.1212697667,0.4512094415619452,0.3626891535324441
HOE LEONG CORPORATION LTD,46,2015.0,121850907.414556,65373080.786109,56153899.9047279,75498266.3248777,49031755.5644512,57129923.6574173,-212179.0766716,1117476.47047043,46352641.0896778,2629606.02355003,52608387.5335455,9212815.50908089,3534903.41734886,5691350.09992123,-5901407.38582611,-737675.923228264,22460369.1634044,2.034,0.2525032258064516,-0.52261817,222,18.618308784988116,0.0756072786371417,0.4608410482630505,-32.57124643786142,1.333280443123793,0.0467074904953999,-0.0877706260971328,-3948173.382665413,0.4845542483749878,0.4688510317206936
HOE LEONG CORPORATION LTD,46,2016.0,85173200.3381252,38059185.3994131,46714374.4779825,72238124.6645451,71183018.5346603,53507570.8909035,293853.279948235,2428956.641077965,12935075.6735802,-32433105.0724983,40030422.3432541,-24404342.0448303,-29710295.1514721,5312867.30146408,5597040.70866108,-806886.535763741,10763339.7549941,-13.188,0.1981369047619047,-0.53226874,222,18.260197392296305,-0.2865260662737647,0.5484632994009059,39.336524065354,0.5346666407646284,0.0623772181903787,-0.0091431275950347,8855092.145994969,0.8321048926662366,0.6282207393697341
HOE LEONG CORPORATION LTD,46,2017.0,54064042.1901941,31411042.4194336,22249737.7694249,75676341.694057,75053866.7680621,49440370.2639341,-652401.605129242,8881490.200102344,-21612299.5038629,-35814005.0870776,46795599.9954343,-3585964.32727575,-27584916.4921045,24014663.6713743,8922639.38391209,-1134969.30617094,14441943.5928134,-8.713,0.5612424,0.57626031,222,17.805679868310907,-0.066328083916858,0.4115441034015111,-0.4232922488616481,0.4185133127984292,0.4441892004096204,0.0178904823454586,18780204.74655908,-0.6682279962959102,0.914477872187318
HOE LEONG CORPORATION LTD,46,2018.0,53325762.55548,32952081.2240839,19777256.9408417,36561401.3074636,22354924.0243435,22592321.4476109,80597.8906154633,2167350.5494594574,16764361.2480164,6589243.91186237,53037808.2735538,11941676.5568256,8837192.35193729,3179220.43073177,1859613.14892769,-785463.079452515,20587018.2818235,4.985,1.0422362549800797,0.438620118,222,17.79193012236909,0.2239382239382232,0.3708762142925849,-9.89829012392735,1.4740412979351023,0.0596188460957143,0.0120839283752609,4786236.669035912,1.228022826354891,0.4236661674384103
HOE LEONG CORPORATION LTD,46,2019.0,39088480.8313847,29648902.199924,8919240.13805389,33789341.7380452,32582393.9630389,18565172.6941466,-198188.841283321,1435570.1087713204,5299139.09333944,-12530433.8191152,46378415.7012105,-3041122.40725756,-11293052.5516272,8229661.73523664,4591745.96321583,-1264845.63875198,8342388.64732717,-21.691,1.48333,0.565260569,222,17.481338373657188,-0.0778009874667679,0.2281807823775158,18.14202253910766,0.9099669666249012,0.210539308773262,0.0155703289013295,7269809.411984643,1.5742913141896635,0.4749525256361551
