,Company,NACE,Consolidation code,Year,TE,TL,CA,CFO,CFF,CFI,CL,DA,EBIDTA,TDA,FA,LTD,ND,NI,NP,EBIT,DeltaLTB,DeltaSTB,LB,TA,ITE,IA
10054,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2018,57842175.262332,111870604.88236,63609320.6899166,-655773.746371269,25832356.6503525,-34541325.0854015,109538395.011187,2590855.82923889,1236811.26689911,-2590855.82923889,99515680.9591055,n.a.,26598769.3192959,-2404747.97272682,-2434056.29658699,-1329132.48705864,26216295.6929207,n.a.,37774033.2071781,169712780.144691,-638188.752055168,241793.67184639
10055,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2019,60679188.0463958,139093679.406583,92004159.173727,-5177405.12341261,15237530.0893784,-3456057.097435,100236047.749877,6058491.84477329,1947001.23852491,-6058491.84477329,98879159.3533754,33319478.3053398,36719864.3799424,-6784441.98250771,-6784441.98250771,-4160481.10634089,16610748.6525774,n.a.,21015439.9790764,199772867.452979,-539637.781322002,384501.197695732
10056,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2020,39958400.2552032,147664324.644089,71143636.4421844,5875501.20544434,5245442.95310974,-12755465.0268555,99180094.1123962,7589441.18118286,-11880342.1001434,-8543983.21533203,106653053.936005,42107254.3907166,47551623.298645,-21684441.8201447,-21684441.8201447,-20466682.1727753,6661372.18284607,n.a.,21280538.9308929,187622724.899292,638378.349304199,250359.281539917
10057,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2021,37211660.7106924,142260121.931672,68893247.9842901,-10884072.2951889,5732041.33653641,1265813.4649992,91363471.4632034,8687578.91261578,8121624.90868568,-8687578.91261578,96447439.9795532,45462012.4124289,58436045.571804,-1943478.65140438,-1943478.65140438,-556336.484909058,-291484.807252884,n.a.,24901236.3637686,179471782.642365,469778.813719749,114670.419096947
10058,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2022,12919083.414495,170336898.845136,78732706.6140175,-722147.832334042,644801.411569118,-4477911.53293848,115237986.068308,8204670.32575607,-12588129.9794912,-8204670.32575607,92129999.1492033,47307004.6003461,65426147.3801136,-23577271.4527845,-23577271.4527845,-20823292.6442027,2266101.38529539,n.a.,26052356.9172621,183255982.259631,-1272497.36469984,31236.0545396805
10059,SOILBUILD CONSTRUCTION GROUP LTD,8211.0,C1,2023,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10060,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2004,2543150.94977617,10635328.7372589,8794222.10502625,1961684.42696333,-1614028.65332365,938915.416836739,7687599.5016098,204431.388020515,1830701.44182444,-204431.388020515,4384257.58200884,2841229.05147076,4684171.89377546,883217.044651508,883217.044651508,1644632.15452433,-944424.04705286,-143836.455643177,1887011.88403368,13178479.6870351,-300526.381790638,n.a.
10061,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2005,3408244.2522049,10864078.9985657,9799303.11441422,373753.160238266,-149020.552635193,-282417.982816696,8161278.81407738,237351.283431053,1734166.59235954,-237351.283431053,4473020.13635635,2553779.6318531,4985578.7307024,866482.40685463,866482.40685463,1496214.41960335,-453070.551156998,684412.941336632,2714217.08166599,14272323.2507706,-246364.623308182,n.a.
10062,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2006,5289439.16547298,16471316.1688447,16516296.6103554,2274445.80334425,-1829204.62143421,-520208.584427834,13752281.0740471,292698.815047741,3470664.7913456,-292698.815047741,5244458.72396231,2549543.57606173,5005866.81681871,2121251.54602528,2121251.54602528,3173402.74310112,-185136.889696121,-475880.033373833,2632985.55451632,21760755.3343177,-599087.329685688,n.a.
10063,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2007,10442686.2090826,23586593.5086608,29891061.7409348,2737302.1325469,1300999.11242723,-187343.872189522,21065777.6284218,338606.702327728,6104634.76860523,-338606.702327728,4138217.97680855,2355675.72623491,2030946.34777308,5967943.12852621,5024978.97183895,6476547.0482111,652234.221696854,-160283.090651035,4403968.72884035,34029279.7177434,-942964.15668726,n.a.
