Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
STARHUB LIMITED,61,2020,2217154567.90924,877089495.08667,684592706.108093,1743287226.86768,584600267.982483,691778244.400024,-24733379.1732788,93941458.5113518,473867341.041565,119431210.136414,1534528430.17578,420467445.94574,188639289.474487,231828156.471252,437864012.336731,-144618412.780762,1712903450.85134,6.113,0.3012150793650793,-0.18191667,491,21.519490484550047,0.1896428205915466,0.3087708525227715,0.62977604119244,1.5003234571095871,0.1045611162282944,-0.2611821086261968,700959711.85026,3.614732019907432,0.3120117354074983
STARHUB LIMITED,61,2021,2399127110.25476,1185840095.29352,603832232.689857,1884071976.22061,809277235.162258,491159298.312664,-29666347.1341133,93215953.58848532,515055134.034157,110453506.910801,1511134180.95112,380409867.739677,174003113.365173,206406754.374504,486128596.055508,-127617079.31757,1740794309.7903402,4.79,0.1537802371541501,2.30485959,491,21.59837080408343,0.1585617811218355,0.2516883036788063,5.0893380763351095,1.465307614955661,0.0860341052761418,-0.3672161172161167,741192029.5009246,3.3798212943837886,0.2047241666409698
STARHUB LIMITED,61,2022,2330730269.56916,1055555528.76592,549977674.57366,1822177553.03979,862858820.879459,517105445.748568,-17328573.1136799,49680201.02977761,508552716.529369,46259109.3420982,1730849279.29044,321508247.083426,78610737.2581959,242897509.82523,285363669.68751,-120110066.860914,1335994969.11908,2.338,1.5047336,6.12106004,491,21.56944747583405,0.137943137943138,0.2359679632406904,-3.7705072059667297,1.2233235649026073,0.1042151951242861,-0.5989717223650401,484910973.15644896,2.627053058012573,0.2218641309550401
STRACO CORPORATION LIMITED,91,2015,236936131.337643,104476977.353096,95209702.5476694,73218755.7778358,17056368.710041,-44292382.2551966,-14931748.8889694,30860032.1747064,163717375.559807,34655915.8563614,90292806.0775995,59661220.0421095,50584199.1420984,9040950.45697689,45980620.4419136,-2726501.13523006,532392136.32783,37.789,0.2525032258064516,-0.52261817,492,19.28330117475416,0.2518029635467036,0.4018369929911278,0.6652785120496849,6.125393929341532,0.0381577533402585,-0.7570281124497971,102929065.65920806,3.2518975735311844,-0.1869380664111471
STRACO CORPORATION LIMITED,91,2016,242110902.995467,118339210.061789,88117264.4934654,67458341.7838812,17044873.0759621,-70755721.2946415,-13164626.9416809,26853349.850893,174652561.211586,32126114.8223877,86535988.1376028,54669155.6210518,45814837.7315998,8846712.27514744,46373504.6732426,-2594205.89733124,451262791.087949,41.061,0.1981369047619047,-0.53226874,492,19.304906455984973,0.2258021218568391,0.3639541359073581,2.266096269232317,6.942803829303923,0.0365399168963203,-0.694282380396732,94464868.07757106,2.5837742541963555,-0.2922450844601832
STRACO CORPORATION LIMITED,91,2017,274801731.151342,149301957.700431,88455781.8514109,66518029.7119617,19196468.3307409,29259314.1896725,-14846625.5185604,29822683.92437701,208283701.439381,35716743.3798909,96096811.2013936,60597784.4122052,50692801.7857075,9877300.44829845,49438125.7629991,-1934011.63905859,547071529.463092,54.452,0.5612424,0.57626031,492,19.43156041797,0.2205145657500683,0.3218894636536897,0.963682381478148,7.777574245849241,0.0359433705417914,-0.7113819680946407,102410140.9104224,2.626569077092727,0.1064742717124968
STRACO CORPORATION LIMITED,91,2018,273286931.250334,155115769.446135,83191677.2770882,56917497.6445436,18283997.8401661,-120746630.763412,-13434202.9494047,26798798.629641503,216369433.60579,30652843.2172537,86371630.4159164,51753370.980382,44017438.8974905,7060375.21791458,37686108.2355976,-3100087.95630932,441540014.52944905,49.793,1.0422362549800797,0.438620118,492,19.42603283142468,0.1893737499396753,0.3044114729397127,1.3011874861640211,8.48368998958085,0.0258350268913781,-0.7802127659574445,88493759.6247176,2.0406764817525205,-0.4418309730764501
STRACO CORPORATION LIMITED,91,2019,303651284.656703,154282218.995869,130401577.041686,80642816.8340921,17350802.116096,-96826754.3116212,-12034590.5757546,24406918.69002569,223008467.822611,28274199.0761161,80786076.9328475,48577049.9629378,40646527.1903872,7906769.80280876,36092637.5226974,-4190914.59882259,432236298.99058896,21.303,1.48333,0.565260569,492,19.531390511014216,0.1599764348695485,0.429445168292679,1.184206690530492,8.891935828877006,0.0260389802458694,-0.7410640826400897,82777561.62064084,1.938205769542372,-0.318874838356406
STRACO CORPORATION LIMITED,91,2020,289093114.795685,140500721.153259,131831936.483383,76549430.355072,22889343.1358337,-84625975.3952026,-605854.333877563,-1223054.254531864,212543684.440613,-738219.512939453,22356100.5573273,5252250.30517578,-2567128.10134888,7758868.61038208,375160.736083984,-4214507.30133057,342788513.97079897,-1.625,0.3012150793650793,-0.18191667,492,19.48225939070741,0.018168022814683,0.4560189424661826,1.4699357948906056,6.138259202960808,0.0268386489102849,0.450759707371975,3917917.360755522,1.6127908710765655,-0.2927291279663009
STRACO CORPORATION LIMITED,91,2021,278839249.358535,138810391.839743,124518018.76533,64811720.8735943,10834505.0817728,-94009768.8122988,-3265517.61221886,3830731.806993492,214027528.484941,8556632.69209862,31006141.5146589,18791152.54879,9121846.88687325,9654509.47880745,14993712.1537924,-3005844.59865093,278305031.067796,6.687,0.1537802371541501,2.30485959,492,19.44614600656384,0.0673906295186876,0.4465584348393621,-11.768111623412072,12.811881188118846,0.0346239257960186,-0.6171700223713655,24194501.39445769,1.3003235286500894,-0.3371468293239445
